id,name,species,generation,official_artwork_url,sprite_url,icon_url,primary_type,secondary_type,height_m,weight_kg,hp,attack,defense,special_attack,special_defense,speed,base_stat_total,flavor_text,previous_evolution_id,next_evolution_id,evolution_conditions,is_legendary,is_mythical
16,pidgey,Tiny Bird Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/16.png,normal,flying,0.3,1.8,40,45,40,35,35,56,251,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,,17,level-up&level:18&needs_overworld_rain:true&turn_upside_down:true,0,0
17,pidgeotto,Bird Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/17.png,normal,flying,1.1,30.0,63,60,55,50,50,71,349,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",16,18,level-up&level:36&needs_overworld_rain:true&turn_upside_down:true,0,0
18,pidgeot,Bird Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/18.png,normal,flying,1.5,39.5,83,80,75,70,70,101,479,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",17,,,0,0
19,rattata,Mouse Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/19.png,normal,,0.3,3.5,30,56,35,25,35,72,253,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",,20,"level-up&level:20&needs_overworld_rain:true&turn_upside_down:true, level-up&level:20&time:night&needs_overworld_rain:true&turn_upside_down:true",0,0
20,raticate,Mouse Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/20.png,normal,,0.7,18.5,55,81,60,50,70,97,413,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,19,,,0,0
21,spearow,Tiny Bird Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/21.png,normal,flying,0.3,2.0,40,60,30,31,31,70,262,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",,22,level-up&level:20&needs_overworld_rain:true&turn_upside_down:true,0,0
22,fearow,Beak Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/22.png,normal,flying,1.2,38.0,65,90,65,61,61,100,442,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",21,,,0,0
23,ekans,Snake Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/23.png,poison,,2.0,6.9,35,60,44,40,54,55,288,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",,24,level-up&level:22&needs_overworld_rain:true&turn_upside_down:true,0,0
24,arbok,Cobra Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/24.png,poison,,3.5,65.0,60,95,69,65,79,80,448,It is rumored that the ferocious warning markings on its belly differ from area to area.,23,,,0,0
25,pikachu,Mouse Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/25.png,electric,,0.4,6.0,35,55,40,50,50,90,320,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",172,26,use-item&use_item:thunder-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
26,raichu,Mouse Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/26.png,electric,,0.8,30.0,60,90,55,90,80,110,485,Its long tail serves as a ground to protect itself from its own high-voltage power.,25,,,0,0
27,sandshrew,Mouse Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/27.png,ground,,0.6,12.0,50,75,85,20,30,40,300,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,,28,"level-up&level:22&needs_overworld_rain:true&turn_upside_down:true, use-item&use_item:ice-stone&needs_overworld_rain:true&turn_upside_down:true",0,0
28,sandslash,Mouse Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/28.png,ground,,1.0,29.5,75,100,110,45,55,65,450,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,27,,,0,0
29,nidoran-f,Poison Pin Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/29.png,poison,,0.4,7.0,55,47,52,40,40,41,275,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",,30,level-up&level:16&needs_overworld_rain:true&turn_upside_down:true,0,0
30,nidorina,Poison Pin Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/30.png,poison,,0.8,20.0,70,62,67,55,55,56,365,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,29,31,use-item&use_item:moon-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
31,nidoqueen,Drill Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/31.png,poison,ground,1.3,60.0,90,92,87,75,85,76,505,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,30,,,0,0
32,nidoran-m,Poison Pin Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/32.png,poison,,0.5,9.0,46,57,40,40,40,50,273,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",,33,level-up&level:16&needs_overworld_rain:true&turn_upside_down:true,0,0
33,nidorino,Poison Pin Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/33.png,poison,,0.9,19.5,61,72,57,55,55,65,365,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,32,34,use-item&use_item:moon-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
34,nidoking,Drill Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/34.png,poison,ground,1.4,62.0,81,102,77,85,75,85,505,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",33,,,0,0
35,clefairy,Fairy Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/35.png,fairy,,0.6,7.5,70,45,48,60,65,35,323,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,173,36,use-item&use_item:moon-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
36,clefable,Fairy Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/36.png,fairy,,1.3,40.0,95,70,73,95,90,60,483,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,35,,,0,0
37,vulpix,Fox Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/37.png,fire,,0.6,9.9,38,41,40,50,65,65,299,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",,38,"use-item&use_item:fire-stone&needs_overworld_rain:true&turn_upside_down:true, use-item&use_item:ice-stone&needs_overworld_rain:true&turn_upside_down:true",0,0
38,ninetales,Fox Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/38.png,fire,,1.1,19.9,73,76,75,81,100,100,505,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,37,,,0,0
39,jigglypuff,Balloon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/39.png,normal,fairy,0.5,5.5,115,45,20,45,25,20,270,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",174,40,use-item&use_item:moon-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
40,wigglytuff,Balloon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/40.png,normal,fairy,1.0,12.0,140,70,45,85,50,45,435,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",39,,,0,0
41,zubat,Bat Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/41.png,poison,flying,0.8,7.5,40,45,35,30,40,55,245,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,,42,level-up&level:22&needs_overworld_rain:true&turn_upside_down:true,0,0
42,golbat,Bat Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/42.png,poison,flying,1.6,55.0,75,80,70,65,75,90,455,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",41,169,level-up&min_happiness:160&needs_overworld_rain:true&turn_upside_down:true,0,0
43,oddish,Weed Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/43.png,grass,poison,0.5,5.4,45,50,55,75,65,30,320,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",,44,level-up&level:21&needs_overworld_rain:true&turn_upside_down:true,0,0
44,gloom,Weed Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/44.png,grass,poison,0.8,8.6,60,65,70,85,75,40,395,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,43,"45,182","use-item&use_item:leaf-stone&needs_overworld_rain:true&turn_upside_down:true, use-item&use_item:sun-stone&needs_overworld_rain:true&turn_upside_down:true",0,0
45,vileplume,Flower Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/45.png,grass,poison,1.2,18.6,75,80,85,110,90,50,490,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",44,,,0,0
46,paras,Mushroom Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/46.png,bug,grass,0.3,5.4,35,70,55,45,55,25,285,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,,47,level-up&level:24&needs_overworld_rain:true&turn_upside_down:true,0,0
47,parasect,Mushroom Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/47.png,bug,grass,1.0,29.5,60,95,80,60,80,30,405,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,46,,,0,0
48,venonat,Insect Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/48.png,bug,poison,1.0,30.0,60,55,50,40,55,45,305,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,,49,level-up&level:31&needs_overworld_rain:true&turn_upside_down:true,0,0
49,venomoth,Poison Moth Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/49.png,bug,poison,1.5,12.5,70,65,60,90,75,90,450,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,48,,,0,0
50,diglett,Mole Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/50.png,ground,,0.2,0.8,10,55,25,35,45,95,265,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,,51,level-up&level:26&needs_overworld_rain:true&turn_upside_down:true,0,0
51,dugtrio,Mole Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/51.png,ground,,0.7,33.3,35,100,50,50,70,120,425,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,50,,,0,0
52,meowth,Scratch Cat Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/52.png,normal,,0.4,4.2,40,45,35,40,40,90,290,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,,"53,863","level-up&level:28&needs_overworld_rain:true&turn_upside_down:true, level-up&min_happiness:160&needs_overworld_rain:true&turn_upside_down:true, level-up&level:28&needs_overworld_rain:true&turn_upside_down:true",0,0
53,persian,Classy Cat Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/53.png,normal,,1.0,32.0,65,70,60,65,65,115,440,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",52,,,0,0
54,psyduck,Duck Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/54.png,water,,0.8,19.6,50,52,48,65,50,55,320,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",,55,level-up&level:33&needs_overworld_rain:true&turn_upside_down:true,0,0
