id,double_damage_from,half_damage_from,no_damage_from,double_damage_to,half_damage_to,no_damage_to
74,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
75,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
76,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
77,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
78,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
79,"bug,dark,electric,ghost,grass","fighting,fire,ice,psychic,steel,water",,"fighting,fire,ground,poison,rock","dragon,grass,psychic,steel,water",dark
80,"bug,dark,electric,ghost,grass","fighting,fire,ice,psychic,steel,water",,"fighting,fire,ground,poison,rock","dragon,grass,psychic,steel,water",dark
81,"fighting,fire,ground","bug,dragon,electric,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,flying,ice,rock,water","dragon,electric,fire,grass,steel,water",ground
82,"fighting,fire,ground","bug,dragon,electric,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,flying,ice,rock,water","dragon,electric,fire,grass,steel,water",ground
83,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
84,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
85,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
86,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
87,"electric,fighting,grass,rock","ice,water",,"dragon,fire,flying,grass,ground,rock","dragon,fire,grass,ice,steel,water",
88,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
89,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
90,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
91,"electric,fighting,grass,rock","ice,water",,"dragon,fire,flying,grass,ground,rock","dragon,fire,grass,ice,steel,water",
92,"dark,ghost,ground,psychic","bug,fairy,grass,poison","fighting,normal","fairy,ghost,grass,psychic","dark,ghost,ground,poison,rock","normal,steel"
93,"dark,ghost,ground,psychic","bug,fairy,grass,poison","fighting,normal","fairy,ghost,grass,psychic","dark,ghost,ground,poison,rock","normal,steel"
94,"dark,ghost,ground,psychic","bug,fairy,grass,poison","fighting,normal","fairy,ghost,grass,psychic","dark,ghost,ground,poison,rock","normal,steel"
95,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
96,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
97,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
98,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
99,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
100,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
101,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
102,"bug,dark,fire,flying,ghost,ice,poison","electric,fighting,grass,ground,psychic,water",,"fighting,ground,poison,rock,water","bug,dragon,fire,flying,grass,poison,psychic,steel",dark
103,"bug,dark,fire,flying,ghost,ice,poison","electric,fighting,grass,ground,psychic,water",,"fighting,ground,poison,rock,water","bug,dragon,fire,flying,grass,poison,psychic,steel",dark
104,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
105,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
106,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
107,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
108,fighting,,ghost,,"rock,steel",ghost
109,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
110,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
111,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
112,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
113,fighting,,ghost,,"rock,steel",ghost
114,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
115,fighting,,ghost,,"rock,steel",ghost
116,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
117,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
118,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
119,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
120,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
121,"bug,dark,electric,ghost,grass","fighting,fire,ice,psychic,steel,water",,"fighting,fire,ground,poison,rock","dragon,grass,psychic,steel,water",dark
122,"ghost,poison,steel","fighting,psychic",dragon,"dark,dragon,fighting,poison","fire,poison,psychic,steel",dark
123,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
124,"bug,dark,fire,ghost,rock,steel","ice,psychic",,"dragon,fighting,flying,grass,ground,poison","fire,ice,psychic,steel,water",dark
125,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
126,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
127,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
128,fighting,,ghost,,"rock,steel",ghost
129,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
130,"electric,rock","bug,fighting,fire,steel,water",ground,"bug,fighting,fire,grass,ground,rock","dragon,electric,grass,rock,steel,water",
131,"electric,fighting,grass,rock","ice,water",,"dragon,fire,flying,grass,ground,rock","dragon,fire,grass,ice,steel,water",
132,fighting,,ghost,,"rock,steel",ghost
133,fighting,,ghost,,"rock,steel",ghost
134,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
135,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
136,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
137,fighting,,ghost,,"rock,steel",ghost
138,"electric,fighting,grass,ground","fire,flying,ice,normal,poison",,"bug,fire,flying,ground,ice,rock","dragon,fighting,grass,ground,steel,water",
139,"electric,fighting,grass,ground","fire,flying,ice,normal,poison",,"bug,fire,flying,ground,ice,rock","dragon,fighting,grass,ground,steel,water",
140,"electric,fighting,grass,ground","fire,flying,ice,normal,poison",,"bug,fire,flying,ground,ice,rock","dragon,fighting,grass,ground,steel,water",
141,"electric,fighting,grass,ground","fire,flying,ice,normal,poison",,"bug,fire,flying,ground,ice,rock","dragon,fighting,grass,ground,steel,water",
142,"electric,ice,rock,steel,water","bug,fire,flying,normal,poison",ground,"bug,fighting,fire,flying,grass,ice","electric,fighting,ground,rock,steel",
143,fighting,,ghost,,"rock,steel",ghost
144,"electric,fire,rock,steel","bug,grass",ground,"bug,dragon,fighting,flying,grass,ground","electric,fire,ice,rock,steel,water",
145,"ice,rock","bug,fighting,flying,grass,steel",ground,"bug,fighting,flying,grass,water","dragon,electric,grass,rock,steel",ground
146,"electric,rock,water","bug,fairy,fighting,fire,grass,steel",ground,"bug,fighting,grass,ice,steel","dragon,electric,fire,rock,steel,water",
147,"dragon,fairy,ice","electric,fire,grass,water",,dragon,steel,fairy
148,"dragon,fairy,ice","electric,fire,grass,water",,dragon,steel,fairy
149,"dragon,fairy,ice,rock","bug,fighting,fire,grass,water",ground,"bug,dragon,fighting,grass","electric,rock,steel",fairy
150,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
151,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
152,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
153,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
154,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
155,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
156,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
157,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
158,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
159,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
160,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
161,fighting,,ghost,,"rock,steel",ghost
162,fighting,,ghost,,"rock,steel",ghost
163,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
164,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
165,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
166,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
167,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
168,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
169,"electric,ice,psychic,rock","bug,fairy,fighting,grass,poison",ground,"bug,fairy,fighting,grass","electric,ghost,ground,poison,rock,steel",steel
170,"grass,ground","fire,flying,ice,steel,water",,"fire,flying,ground,rock,water","dragon,electric,grass,water",ground
171,"grass,ground","fire,flying,ice,steel,water",,"fire,flying,ground,rock,water","dragon,electric,grass,water",ground
172,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
173,"poison,steel","bug,dark,fighting",dragon,"dark,dragon,fighting","fire,poison,steel",
174,"poison,steel","bug,dark","dragon,ghost","dark,dragon,fighting","fire,poison,rock,steel",ghost
175,"poison,steel","bug,dark,fighting",dragon,"dark,dragon,fighting","fire,poison,steel",
176,"electric,ice,poison,rock,steel","bug,dark,fighting,grass","dragon,ground","bug,dark,dragon,fighting,grass","electric,fire,poison,rock,steel",
177,"dark,electric,ghost,ice,rock","fighting,grass,psychic",ground,"bug,fighting,grass,poison","electric,psychic,rock,steel",dark
178,"dark,electric,ghost,ice,rock","fighting,grass,psychic",ground,"bug,fighting,grass,poison","electric,psychic,rock,steel",dark
179,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
180,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
181,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
182,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
183,"electric,grass,poison","bug,dark,fighting,fire,ice,water",dragon,"dark,dragon,fighting,fire,ground,rock","dragon,fire,grass,poison,steel,water",
184,"electric,grass,poison","bug,dark,fighting,fire,ice,water",dragon,"dark,dragon,fighting,fire,ground,rock","dragon,fire,grass,poison,steel,water",
185,"fighting,grass,ground,steel,water","fire,flying,normal,poison",,"bug,fire,flying,ice","fighting,ground,steel",
186,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
187,"fire,flying,ice,poison,rock","fighting,grass,water",ground,"bug,fighting,grass,ground,rock,water","bug,dragon,electric,fire,flying,grass,poison,rock,steel",
188,"fire,flying,ice,poison,rock","fighting,grass,water",ground,"bug,fighting,grass,ground,rock,water","bug,dragon,electric,fire,flying,grass,poison,rock,steel",
189,"fire,flying,ice,poison,rock","fighting,grass,water",ground,"bug,fighting,grass,ground,rock,water","bug,dragon,electric,fire,flying,grass,poison,rock,steel",
190,fighting,,ghost,,"rock,steel",ghost
191,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
192,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
193,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
194,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
195,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
196,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
197,"bug,fairy,fighting","dark,ghost",psychic,"ghost,psychic","dark,fairy,fighting",
198,"electric,fairy,ice,rock","dark,ghost,grass","ground,psychic","bug,fighting,ghost,grass,psychic","dark,electric,fairy,fighting,rock,steel",
199,"bug,dark,electric,ghost,grass","fighting,fire,ice,psychic,steel,water",,"fighting,fire,ground,poison,rock","dragon,grass,psychic,steel,water",dark
200,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
201,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
202,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
203,"bug,dark",psychic,ghost,"fighting,poison","psychic,rock,steel","dark,ghost"
204,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
205,fire,"bug,dragon,fairy,grass,ice,normal,psychic,steel",poison,"dark,fairy,grass,ice,psychic,rock","electric,fairy,fighting,fire,flying,ghost,poison,steel,water",
206,fighting,,ghost,,"rock,steel",ghost
207,"ice,water","bug,fighting,poison","electric,ground","bug,electric,fighting,fire,grass,poison,rock,steel","bug,electric,grass,rock,steel",flying
208,"fighting,fire,ground,water","bug,dragon,fairy,flying,normal,psychic,rock,steel","electric,poison","electric,fairy,fire,ice,poison,rock,steel","bug,electric,fire,grass,steel,water",flying
209,"poison,steel","bug,dark,fighting",dragon,"dark,dragon,fighting","fire,poison,steel",
210,"poison,steel","bug,dark,fighting",dragon,"dark,dragon,fighting","fire,poison,steel",
211,"electric,ground,psychic","bug,fairy,fighting,fire,ice,poison,steel,water",,"fairy,fire,grass,ground,rock","dragon,ghost,grass,ground,poison,rock,water",steel
212,fire,"bug,dragon,fairy,grass,ice,normal,psychic,steel",poison,"dark,fairy,grass,ice,psychic,rock","electric,fairy,fighting,fire,flying,ghost,poison,steel,water",
213,"rock,steel,water","normal,poison",,"bug,dark,fire,flying,grass,ice,psychic","fairy,fighting,fire,flying,ghost,ground,poison,steel",
214,"fairy,fire,flying,psychic","bug,dark,fighting,grass,ground",,"dark,grass,ice,normal,psychic,rock,steel","bug,fairy,fighting,fire,flying,ghost,poison,psychic,steel",ghost
215,"bug,fairy,fighting,fire,rock,steel","dark,ghost,ice",psychic,"dragon,flying,ghost,grass,ground,psychic","dark,fairy,fighting,fire,ice,steel,water",
216,fighting,,ghost,,"rock,steel",ghost
217,fighting,,ghost,,"rock,steel",ghost
218,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
219,"fighting,ground,rock,water","bug,fairy,fire,flying,ice,normal,poison",,"bug,fire,flying,grass,ice,steel","dragon,fighting,fire,ground,rock,steel,water",
220,"fighting,fire,grass,steel,water",poison,electric,"dragon,electric,fire,flying,grass,ground,poison,rock,steel","bug,fire,grass,ice,steel,water",flying
221,"fighting,fire,grass,steel,water",poison,electric,"dragon,electric,fire,flying,grass,ground,poison,rock,steel","bug,fire,grass,ice,steel,water",flying
222,"electric,fighting,grass,ground","fire,flying,ice,normal,poison",,"bug,fire,flying,ground,ice,rock","dragon,fighting,grass,ground,steel,water",
223,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
224,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
225,"electric,fire,rock,steel","bug,grass",ground,"bug,dragon,fighting,flying,grass,ground","electric,fire,ice,rock,steel,water",
226,"electric,rock","bug,fighting,fire,steel,water",ground,"bug,fighting,fire,grass,ground,rock","dragon,electric,grass,rock,steel,water",
227,"electric,fire","bug,dragon,fairy,flying,grass,normal,psychic,steel","ground,poison","bug,fairy,fighting,grass,ice,rock","electric,fire,rock,steel,water",
228,"fighting,ground,rock,water","dark,fire,ghost,grass,ice,steel",psychic,"bug,ghost,grass,ice,psychic,steel","dark,dragon,fairy,fighting,fire,rock,water",
229,"fighting,ground,rock,water","dark,fire,ghost,grass,ice,steel",psychic,"bug,ghost,grass,ice,psychic,steel","dark,dragon,fairy,fighting,fire,rock,water",
230,"dragon,fairy","fire,steel,water",,"dragon,fire,ground,rock","dragon,grass,steel,water",fairy
231,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
232,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
233,fighting,,ghost,,"rock,steel",ghost
234,fighting,,ghost,,"rock,steel",ghost
235,fighting,,ghost,,"rock,steel",ghost
236,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
237,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
238,"bug,dark,fire,ghost,rock,steel","ice,psychic",,"dragon,fighting,flying,grass,ground,poison","fire,ice,psychic,steel,water",dark
239,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
240,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
241,fighting,,ghost,,"rock,steel",ghost
242,fighting,,ghost,,"rock,steel",ghost
243,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
244,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
245,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
